Question,Answer
Tell me about what you did during the time between 2001 and 2004,"I joined the United States Air Force directly after high school. Some highlights of this were that I Worked on U2 aircraft: Radios, navigation systems (UHF, HF, VHF, TACAN), Autopilot, Electronic Warfare systems, Identify Friend Foe, Secret clearance.
Multiple deployments, including wartime. Provided first-line support for maintenance, troubleshooting, preflight checks, and debriefing pilots. Trained other employees.
Collaborated with engineering teams on system upgrades and modifications.
Conducted regular inspections and maintenance for aircraft readiness.
Handled high-pressure situations to ensure safe and efficient avionics operation.
Participated in ongoing training to stay updated on technology and procedures.
Coordinated with other technicians and departments to address complex technical challenges.
Received commendations for outstanding performance and dedication to the mission.
Trained other technicians in avionics systems and procedures.
Debriefed pilots to determine discrepancies and document required maintenance.
Possessed a strong background in electronic principles, contributing to efficient troubleshooting and repair of avionics systems."
Tell me about what you did between 2004 and 2009,"Summary of Chemistry Experience:

Bachelor's degree in Chemistry from Montclair State University in NJ with a focus on organic chemistry.
Worked at Scientific Design in R&D, specializing in Ethylene Oxide catalyst.
Performed catalyst analysis and conducted wet lab experiments.
Expertise in loading and emptying reactors, measuring efficiency through promoter and silver impregnation experiments.
Collaborated closely with lead scientist to execute research projects.
Provided production support by coordinating with production and analytical teams.
Applied strong analytical skills to ensure accurate and reliable results.
Contributed to ongoing research efforts and development of new catalyst technologies.
Maintained laboratory equipment and ensured a safe working environment.
Demonstrated a deep understanding of chemical principles and laboratory techniques."
Tell me about what you did between 2010 and 2014,"Summary of High School Teaching Experience:

Chemistry teacher at Newark Public Schools, working with diverse students from minority backgrounds.
Utilized inquiry-based teaching pedagogy to foster critical thinking and active learning.
Maintained laboratory facilities in compliance with OSHA standards to ensure safety and effective learning experiences.
Served as the lead chemistry teacher, providing assistance to other educators with lesson planning and feedback.
Graduate of the Exclusive Urban Teaching Residency program pilot system.
Also taught Earth Science, expanding subject expertise and versatility as an educator.
Taught for 4 years, contributing to the academic development of numerous students.
Earned a Master's degree in Teaching from Montclair State University, further enhancing teaching skills and knowledge."
Tell me about what you did between 2010 and 2016,"Summary of Musician Experience:

Accomplished gypsy jazz guitarist, frequently performing in New York City alongside talented musicians.
Highly sought-after rhythm guitarist in the niche style of gypsy jazz, meeting the demand for skilled players in this genre.
Recorded several albums, showcasing musical talent and dedication to the craft.
Self-taught and supplemented skills through private lessons, transitioning from a hobby to a successful professional pursuit."
Tell me about what you did between 2014 and 2018,"Support Engineer at FreeWheel, a Comcast Company:

Resolved over 2000 unique discrepancies across multiple SME domains using Zendesk and Jira, demonstrating extensive experience with CRM and third-party applications.
Successfully onboarded over 30 enterprise customers for FreeWheel's product suite, showcasing a strong understanding of the CX/EX industry.
Provided expert troubleshooting and technical support to customers, leveraging in-depth product knowledge to ensure customer success.
Trained multiple support engineers on all associated responsibilities, displaying leadership and mentorship skills.
Collaborated with internal stakeholders to address and resolve customer issues efficiently and effectively."
Tell me about what you did between 2018 and 2020,"Solutions Engineer at FreeWheel, a Comcast Company:

Delivered solutions for enterprise broadcasters' ad ops, maximizing inventory ad revenue and optimizing delivery, demonstrating expertise in CCaaS and related industries.
Conducted quarterly business reviews with sales executives, ensuring multiple enterprise account renewals.
Consulted on advanced usage for all major components of FreeWheel ad product suite to increase the solution's stickiness.
Troubleshot customer implementations via querying and analysis of internal bin logs and client-side integrations, displaying strong ability to work with internal stakeholders."
Tell me about what you did between 2020 and 2023,"MapsPeople - Senior Solutions Engineer.
This is not a developer role, but in fact a role associated on the sales team. Howevrer Robert also spent a lot of time working on integrations to help increase the probability of a successful sale.
Led the discovery, qualification, prototyping, and delivery of proof of concepts (POCs) in property and events tech industries, contributing to over 1M Euros ARR.
Served as a trusted advisor to partner CPOs, product managers, and customer development teams, offering innovative mapping solutions aligned with business objectives.
Developed REST API integrations in Python, optimizing MapsPeople integrations and reducing implementation time by 20%.
Demonstrated strong business and technical acumen by creating data tables in Google Big Query from multiple API data sources for BI and product teams.
Created web application prototypes using HTML, CSS, and JS with a Django REST backend for effective customer demonstrations during sales calls."
Tell me about any hobbies you have,"a) Developer:

Enthusiastic hobbyist developer with a passion for coding and building software.
Proficient in Python, comfortable with C, and a novice in JavaScript.
Explores various projects and applications, continuously learning and improving coding skills through personal projects and online courses.

b) Flesh and Blood Card game:

Enthusiastic player of the strategic trading card game Flesh and Blood.
Engages in local and online competitions, exploring different strategies and deckbuilding techniques.
Enjoys the social aspect of the game, connecting with fellow players and sharing experiences.

c) Magic the Gathering:

Enjoys playing the iconic trading card game Magic: The Gathering.
Participates in casual and competitive play, honing deck-building skills and strategic thinking.
Appreciates the complexity and depth of the game, engaging with a diverse community of players.

d) Music:

Accomplished Gypsy jazz guitarist, sharing musical talents with audiences in NYC and beyond.
A sought-after rhythm guitarist known for expertise in niche style rhythm playing.
Recorded several albums, turning a beloved hobby into a fulfilling profession."
What technologies do you have familiarity with in terms of computers?,"Familiar with various computer technologies, including:

Mapping APIs: Mapbox A.P.I., Mapbox JS, Google Maps, and Google Maps JS.
Python Libraries: Requests, Pandas, OpenCV, Pillow, Google Text to Speech, Eleven Labs, Langchain, OpenAI, Jupyter Notebook, Django, Flask, and FastAPI.
Data Formats: Familiar with XML and JSON.
Scripting: Experience with Google Docs scripting and Cloud Functions.
Docker: Knowledge of containerization using Docker.
Web Technologies: Vite for JS, basic HTML, CSS, and JavaScript. Some exposure to React. GitHub, GitLab
Feel free to provide any additional details or revisions you'd like to include."
What fields are you comfortable with in terms of subject matter expertise?,"
Extensive background in chemistry, ad tech, mapping, and education.
Incorporate scientific thinking and problem-solving in various domains.
Proficient in pedagogy, bringing inquiry-based teaching approaches to education.
Accomplished Gypsy jazz guitarist, merging passion for music and technology.
Adaptable to technological trends, continuously learning and exploring new tools.
Combine scientific acumen with technology expertise for innovative solutions."
